year,city,country,avg_temp
1931,Bern,Switzerland,6.13
1932,Bern,Switzerland,6.72
1933,Bern,Switzerland,6.32
1934,Bern,Switzerland,7.73
1935,Bern,Switzerland,6.81
1936,Bern,Switzerland,7.08
1937,Bern,Switzerland,7.27
1938,Bern,Switzerland,7.02
1939,Bern,Switzerland,6.66
1940,Bern,Switzerland,5.75
1941,Bern,Switzerland,6.00
1942,Bern,Switzerland,6.54
1943,Bern,Switzerland,7.74
1944,Bern,Switzerland,6.59
1945,Bern,Switzerland,7.48
1946,Bern,Switzerland,7.18
1947,Bern,Switzerland,7.82
1948,Bern,Switzerland,7.65
1949,Bern,Switzerland,7.85
1950,Bern,Switzerland,7.52
1951,Bern,Switzerland,7.28
1952,Bern,Switzerland,6.98
1953,Bern,Switzerland,7.40
1954,Bern,Switzerland,6.48
1955,Bern,Switzerland,6.68
1956,Bern,Switzerland,5.74
1957,Bern,Switzerland,7.22
1958,Bern,Switzerland,7.16
1959,Bern,Switzerland,7.84
1960,Bern,Switzerland,7.14
1961,Bern,Switzerland,8.04
1962,Bern,Switzerland,6.21
1963,Bern,Switzerland,6.09
1964,Bern,Switzerland,7.21
1965,Bern,Switzerland,6.28
1966,Bern,Switzerland,7.32
1967,Bern,Switzerland,7.37
1968,Bern,Switzerland,6.94
1969,Bern,Switzerland,6.64
1970,Bern,Switzerland,6.66
1971,Bern,Switzerland,7.11
1972,Bern,Switzerland,6.71
1973,Bern,Switzerland,6.74
1974,Bern,Switzerland,7.39
1975,Bern,Switzerland,7.33
1976,Bern,Switzerland,7.26
1977,Bern,Switzerland,7.38
1978,Bern,Switzerland,6.42
1979,Bern,Switzerland,6.93
1980,Bern,Switzerland,6.34
1981,Bern,Switzerland,6.98
1982,Bern,Switzerland,7.67
1983,Bern,Switzerland,7.70
1984,Bern,Switzerland,6.73
1985,Bern,Switzerland,6.64
1986,Bern,Switzerland,6.90
1987,Bern,Switzerland,6.87
1988,Bern,Switzerland,7.81
1989,Bern,Switzerland,8.05
1990,Bern,Switzerland,8.19
1991,Bern,Switzerland,7.24
1992,Bern,Switzerland,7.98
1993,Bern,Switzerland,7.48
1994,Bern,Switzerland,8.78
1995,Bern,Switzerland,7.65
1996,Bern,Switzerland,6.66
1997,Bern,Switzerland,7.96
1998,Bern,Switzerland,7.81
1999,Bern,Switzerland,7.76
2000,Bern,Switzerland,8.54
2001,Bern,Switzerland,7.82
2002,Bern,Switzerland,8.42
2003,Bern,Switzerland,8.48
2004,Bern,Switzerland,7.67
2005,Bern,Switzerland,7.49
2006,Bern,Switzerland,8.19
2007,Bern,Switzerland,8.43
2008,Bern,Switzerland,7.98
2009,Bern,Switzerland,8.15
2010,Bern,Switzerland,7.06
2011,Bern,Switzerland,8.68
2012,Bern,Switzerland,7.96
2013,Bern,Switzerland,7.94
